"Perioden";"Regio's";"Wegvoertuigen per 1 januari/Totaal wegvoertuigen (aantal)";"Wegvoertuigen per 1 januari/Personenauto (aantal)";"Wegvoertuigen per 1 januari/Bedrijfsvoertuigen/Totaal bedrijfsvoertuigen (aantal)";"Wegvoertuigen per 1 januari/Bedrijfsvoertuigen/Bedrijfsmotorvoertuigen/Totaal bedrijfsmotorvoertuigen (aantal)";"Wegvoertuigen per 1 januari/Bedrijfsvoertuigen/Bedrijfsmotorvoertuigen/Bestelauto (aantal)";"Wegvoertuigen per 1 januari/Bedrijfsvoertuigen/Bedrijfsmotorvoertuigen/Vrachtauto (excl. trekker voor oplegger) (aantal)";"Wegvoertuigen per 1 januari/Bedrijfsvoertuigen/Bedrijfsmotorvoertuigen/Trekker voor oplegger (aantal)";"Wegvoertuigen per 1 januari/Bedrijfsvoertuigen/Bedrijfsmotorvoertuigen/Speciaal voertuig (aantal)";"Wegvoertuigen per 1 januari/Bedrijfsvoertuigen/Bedrijfsmotorvoertuigen/Bus (aantal)";"Wegvoertuigen per 1 januari/Bedrijfsvoertuigen/Aanhangwagens en opleggers/Totaal aanhangwagens en opleggers (aantal)";"Wegvoertuigen per 1 januari/Bedrijfsvoertuigen/Aanhangwagens en opleggers/Aanhangwagen (aantal)";"Wegvoertuigen per 1 januari/Bedrijfsvoertuigen/Aanhangwagens en opleggers/Oplegger (aantal)";"Wegvoertuigen per 1 januari/Motorfiets (aantal)";"Wegvoertuigen per 1 januari/Voertuigen met bromfietskenteken/Alle voertuigen met bromfietskenteken (aantal)";"Wegvoertuigen per 1 januari/Voertuigen met bromfietskenteken/Snorfiets (aantal)";"Wegvoertuigen per 1 januari/Voertuigen met bromfietskenteken/Bromfiets (aantal)";"Wegvoertuigen per 1 januari/Voertuigen met bromfietskenteken/Brommobiel (aantal)";"Wegvoertuigen per 1 januari/Voertuigen met bromfietskenteken/Overige voertuigen met bromfietskenteken (aantal)"
"2015";"1616";5014;3297;1053;496;417;22;30;27;0;557;511;46;337;327;102;216;8;1
"2016";"1616";5096;3375;1046;501;431;18;27;25;0;545;499;46;355;320;104;208;7;1
"2017";"1616";5192;3479;1043;492;420;20;30;22;0;551;500;51;353;317;122;186;8;1
"2018";"1616";5217;3499;1039;476;400;21;36;19;0;563;511;52;354;325;125;190;8;2
"2019";"1616";5365;3628;1029;470;399;22;33;16;0;559;511;48;359;349;142;194;9;4
"2020";"1616";5494;3732;1023;456;386;17;35;18;0;567;514;53;376;363;155;194;9;5
"2021";"1616";5640;3820;1081;477;403;20;40;14;0;604;543;61;382;357;164;182;8;3
"2022";"1616";5742;3885;1102;481;408;18;42;13;0;621;551;70;398;357;163;182;8;4
"2015";"1681";1693;289;1379;749;325;53;365;6;0;630;155;475;13;12;4;8;0;0
"2016";"1681";1869;310;1528;799;322;60;413;4;0;729;165;564;15;16;7;9;0;0
"2017";"1681";1997;305;1656;864;335;93;431;5;0;792;214;578;16;20;9;11;0;0
"2018";"1681";2284;319;1927;949;347;99;498;5;0;978;232;746;19;19;10;9;0;0
"2019";"1681";2269;306;1921;934;331;102;495;6;0;987;228;759;21;21;12;9;0;0
"2020";"1681";2375;315;2008;971;336;101;529;5;0;1037;223;814;25;27;14;13;0;0
"2021";"1681";2540;318;2161;1015;355;109;545;6;0;1146;227;919;36;25;10;14;1;0
"2022";"1681";2650;328;2253;1066;383;129;548;6;0;1187;252;935;40;29;13;14;2;0
"2015";"2133";4784;3510;423;149;131;2;1;15;0;274;272;2;312;539;245;290;4;0
"2016";"2133";4790;3509;417;154;133;1;1;19;0;263;261;2;312;552;282;267;3;0
"2017";"2133";4859;3567;395;143;128;1;2;12;0;252;251;1;317;580;295;284;1;0
"2018";"2133";4869;3587;393;148;132;1;2;13;0;245;244;1;299;590;325;263;2;0
"2019";"2133";4839;3585;390;155;138;3;2;12;0;235;235;0;311;553;317;234;2;0
"2020";"2133";4870;3590;398;162;145;4;1;12;0;236;236;0;317;565;329;233;3;0
"2021";"2133";4961;3604;456;197;159;5;4;29;0;259;258;1;312;589;344;243;2;0
"2022";"2133";5013;3635;463;201;170;7;13;11;0;262;250;12;320;595;349;245;1;0
