,Bedrijf,Maand nummer,Probability Maand,Dag nummer,Probability Dag,Uur nummer,Probability Uur
0,PVH Tommy Hilfiger,1,,1,,0,0.0
1,PVH Tommy Hilfiger,1,,1,,1,0.0
2,PVH Tommy Hilfiger,1,,1,,2,0.0180718626981917
3,PVH Tommy Hilfiger,1,,1,,3,0.0156632113529111
4,PVH Tommy Hilfiger,1,,1,,4,0.0132289126513726
5,PVH Tommy Hilfiger,1,,1,,5,0.0282064441029714
6,PVH Tommy Hilfiger,1,,1,,6,0.0086872455444295
7,PVH Tommy Hilfiger,1,,1,,7,0.0046999605827403
8,PVH Tommy Hilfiger,1,,1,,8,0.0036178833712256
9,PVH Tommy Hilfiger,1,,1,,9,0.0039502997997184
10,PVH Tommy Hilfiger,1,,1,,10,0.0143229565887786
11,PVH Tommy Hilfiger,1,,1,,11,0.0011337374650254
12,PVH Tommy Hilfiger,1,,1,,12,0.0071291270542272
13,PVH Tommy Hilfiger,1,,1,,13,0.0343583830891204
14,PVH Tommy Hilfiger,1,,1,,14,0.0099048220781301
15,PVH Tommy Hilfiger,1,,1,,15,0.0632457822174093
16,PVH Tommy Hilfiger,1,,1,,16,0.0823746584294746
17,PVH Tommy Hilfiger,1,,1,,17,0.1808468685048946
18,PVH Tommy Hilfiger,1,,1,,18,0.2128328172573408
19,PVH Tommy Hilfiger,1,,1,,19,0.1054517696519128
20,PVH Tommy Hilfiger,1,,1,,20,0.1354900233057945
21,PVH Tommy Hilfiger,1,,1,,21,0.0461636277974292
22,PVH Tommy Hilfiger,1,,1,,22,0.0106196064569011
23,PVH Tommy Hilfiger,1,,1,,23,0.0
24,PVH Tommy Hilfiger,1,,2,,0,0.0
25,PVH Tommy Hilfiger,1,,2,,1,0.0
26,PVH Tommy Hilfiger,1,,2,,2,0.0180718626981917
27,PVH Tommy Hilfiger,1,,2,,3,0.0156632113529111
28,PVH Tommy Hilfiger,1,,2,,4,0.0132289126513726
29,PVH Tommy Hilfiger,1,,2,,5,0.0282064441029714
30,PVH Tommy Hilfiger,1,,2,,6,0.0086872455444295
31,PVH Tommy Hilfiger,1,,2,,7,0.0046999605827403
32,PVH Tommy Hilfiger,1,,2,,8,0.0036178833712256
33,PVH Tommy Hilfiger,1,,2,,9,0.0039502997997184
34,PVH Tommy Hilfiger,1,,2,,10,0.0143229565887786
35,PVH Tommy Hilfiger,1,,2,,11,0.0011337374650254
36,PVH Tommy Hilfiger,1,,2,,12,0.0071291270542272
37,PVH Tommy Hilfiger,1,,2,,13,0.0343583830891204
38,PVH Tommy Hilfiger,1,,2,,14,0.0099048220781301
39,PVH Tommy Hilfiger,1,,2,,15,0.0632457822174093
40,PVH Tommy Hilfiger,1,,2,,16,0.0823746584294746
41,PVH Tommy Hilfiger,1,,2,,17,0.1808468685048946
42,PVH Tommy Hilfiger,1,,2,,18,0.2128328172573408
43,PVH Tommy Hilfiger,1,,2,,19,0.1054517696519128
