,Bedrijf,Maand nummer,Probability Maand,Dag nummer,Probability Dag,Uur nummer,Probability Uur,Probability Uur Smart0,Probability Uur Smart1
0,PVH Tommy Hilfiger,1,,1,,0,0.0,0.0223966530687821,0.0611542639966294
1,PVH Tommy Hilfiger,1,,1,,1,0.0,0.0107871822875869,0.0611021969756856
2,PVH Tommy Hilfiger,1,,1,,2,0.0180718626981917,0.0060539045546062,0.0606633968666052
3,PVH Tommy Hilfiger,1,,1,,3,0.0156632113529111,0.0026771435299667,0.0553967278069893
4,PVH Tommy Hilfiger,1,,1,,4,0.0132289126513726,0.0020852629229522,0.0490346341167014
5,PVH Tommy Hilfiger,1,,1,,5,0.0282064441029714,0.0034496836657509,0.0376537679887371
6,PVH Tommy Hilfiger,1,,1,,6,0.0086872455444295,0.00692848644751,0.0264883605304416
7,PVH Tommy Hilfiger,1,,1,,7,0.0046999605827403,0.0105236024264905,0.0227206168898645
8,PVH Tommy Hilfiger,1,,1,,8,0.0036178833712256,0.0108662610478809,0.0188339265506828
9,PVH Tommy Hilfiger,1,,1,,9,0.0039502997997184,0.0126673628875713,0.0197331597630458
10,PVH Tommy Hilfiger,1,,1,,10,0.0143229565887786,0.0119831020770995,0.0183634228992116
11,PVH Tommy Hilfiger,1,,1,,11,0.0011337374650254,0.0123293717762007,0.0184565987457109
12,PVH Tommy Hilfiger,1,,1,,12,0.0071291270542272,0.0240452156869825,0.023998181641239
13,PVH Tommy Hilfiger,1,,1,,13,0.0343583830891204,0.0386824502775727,0.029756531579905
14,PVH Tommy Hilfiger,1,,1,,14,0.0099048220781301,0.0492141392131922,0.0295573437956579
15,PVH Tommy Hilfiger,1,,1,,15,0.0632457822174093,0.0670233886430069,0.032480486491574
16,PVH Tommy Hilfiger,1,,1,,16,0.0823746584294746,0.0830087461070469,0.0383616567552697
17,PVH Tommy Hilfiger,1,,1,,17,0.1808468685048946,0.1033331111624174,0.0459530779725745
18,PVH Tommy Hilfiger,1,,1,,18,0.2128328172573408,0.1145514714949592,0.0528601305918386
19,PVH Tommy Hilfiger,1,,1,,19,0.1054517696519128,0.1160551972435952,0.0564736475626324
20,PVH Tommy Hilfiger,1,,1,,20,0.1354900233057945,0.1050459048650052,0.0590212586499389
21,PVH Tommy Hilfiger,1,,1,,21,0.0461636277974292,0.0848258000746033,0.060325033549769
22,PVH Tommy Hilfiger,1,,1,,22,0.0106196064569011,0.0604051187410707,0.0606424025951926
23,PVH Tommy Hilfiger,1,,1,,23,0.0,0.0410614397981484,0.0609691756841019
24,PVH Tommy Hilfiger,1,,2,,0,0.0,0.0223966530687821,0.0611542639966294
25,PVH Tommy Hilfiger,1,,2,,1,0.0,0.0107871822875869,0.0611021969756856
26,PVH Tommy Hilfiger,1,,2,,2,0.0180718626981917,0.0060539045546062,0.0606633968666052
27,PVH Tommy Hilfiger,1,,2,,3,0.0156632113529111,0.0026771435299667,0.0553967278069893
28,PVH Tommy Hilfiger,1,,2,,4,0.0132289126513726,0.0020852629229522,0.0490346341167014
29,PVH Tommy Hilfiger,1,,2,,5,0.0282064441029714,0.0034496836657509,0.0376537679887371
30,PVH Tommy Hilfiger,1,,2,,6,0.0086872455444295,0.00692848644751,0.0264883605304416
31,PVH Tommy Hilfiger,1,,2,,7,0.0046999605827403,0.0105236024264905,0.0227206168898645
32,PVH Tommy Hilfiger,1,,2,,8,0.0036178833712256,0.0108662610478809,0.0188339265506828
33,PVH Tommy Hilfiger,1,,2,,9,0.0039502997997184,0.0126673628875713,0.0197331597630458
34,PVH Tommy Hilfiger,1,,2,,10,0.0143229565887786,0.0119831020770995,0.0183634228992116
35,PVH Tommy Hilfiger,1,,2,,11,0.0011337374650254,0.0123293717762007,0.0184565987457109
36,PVH Tommy Hilfiger,1,,2,,12,0.0071291270542272,0.0240452156869825,0.023998181641239
37,PVH Tommy Hilfiger,1,,2,,13,0.0343583830891204,0.0386824502775727,0.029756531579905
38,PVH Tommy Hilfiger,1,,2,,14,0.0099048220781301,0.0492141392131922,0.0295573437956579
39,PVH Tommy Hilfiger,1,,2,,15,0.0632457822174093,0.0670233886430069,0.032480486491574
40,PVH Tommy Hilfiger,1,,2,,16,0.0823746584294746,0.0830087461070469,0.0383616567552697
41,PVH Tommy Hilfiger,1,,2,,17,0.1808468685048946,0.1033331111624174,0.0459530779725745
42,PVH Tommy Hilfiger,1,,2,,18,0.2128328172573408,0.1145514714949592,0.0528601305918386
43,PVH Tommy Hilfiger,1,,2,,19,0.1054517696519128,0.1160551972435952,0.0564736475626324
44,PVH Tommy Hilfiger,1,,2,,20,0.1354900233057945,0.1050459048650052,0.0590212586499389
45,PVH Tommy Hilfiger,1,,2,,21,0.0461636277974292,0.0848258000746033,0.060325033549769
46,PVH Tommy Hilfiger,1,,2,,22,0.0106196064569011,0.0604051187410707,0.0606424025951926
47,PVH Tommy Hilfiger,1,,2,,23,0.0,0.0410614397981484,0.0609691756841019
48,PVH Tommy Hilfiger,1,,3,,0,0.0,0.0223966530687821,0.0611542639966294
49,PVH Tommy Hilfiger,1,,3,,1,0.0,0.0107871822875869,0.0611021969756856
50,PVH Tommy Hilfiger,1,,3,,2,0.0180718626981917,0.0060539045546062,0.0606633968666052
51,PVH Tommy Hilfiger,1,,3,,3,0.0156632113529111,0.0026771435299667,0.0553967278069893
52,PVH Tommy Hilfiger,1,,3,,4,0.0132289126513726,0.0020852629229522,0.0490346341167014
53,PVH Tommy Hilfiger,1,,3,,5,0.0282064441029714,0.0034496836657509,0.0376537679887371
54,PVH Tommy Hilfiger,1,,3,,6,0.0086872455444295,0.00692848644751,0.0264883605304416
55,PVH Tommy Hilfiger,1,,3,,7,0.0046999605827403,0.0105236024264905,0.0227206168898645
56,PVH Tommy Hilfiger,1,,3,,8,0.0036178833712256,0.0108662610478809,0.0188339265506828
57,PVH Tommy Hilfiger,1,,3,,9,0.0039502997997184,0.0126673628875713,0.0197331597630458
58,PVH Tommy Hilfiger,1,,3,,10,0.0143229565887786,0.0119831020770995,0.0183634228992116
59,PVH Tommy Hilfiger,1,,3,,11,0.0011337374650254,0.0123293717762007,0.0184565987457109
60,PVH Tommy Hilfiger,1,,3,,12,0.0071291270542272,0.0240452156869825,0.023998181641239
